"","Time","Latitude","Longitude","Last.Stop","Current.Stop","Date"
"1","10:56:22 AM",40.586841,-75.365876,"Jordan Hall","","2019-12-06"
"9","10:56:29 AM",40.586098,-75.364973,"Jordan Hall","","2019-12-06"
"14","10:56:35 AM",40.585478,-75.364373,"Jordan Hall","","2019-12-06"
"15","10:56:41 AM",40.584953,-75.363918,"Jordan Hall","","2019-12-06"
"26","10:56:47 AM",40.584643,-75.363728,"Jordan Hall","","2019-12-06"
"30","10:56:52 AM",40.584426,-75.363595,"Jordan Hall","","2019-12-06"
"38","10:56:58 AM",40.583909,-75.363333,"Jordan Hall","","2019-12-06"
"40","10:57:04 AM",40.583187,-75.363078,"Jordan Hall","","2019-12-06"
"47","10:57:10 AM",40.582393,-75.362887,"Jordan Hall","","2019-12-06"
"59","10:57:16 AM",40.581602,-75.362809,"Jordan Hall","","2019-12-06"
"60","10:57:22 AM",40.580875,-75.362883,"Jordan Hall","","2019-12-06"
"69","10:57:28 AM",40.58031,-75.363095,"Jordan Hall","","2019-12-06"
"74","10:57:34 AM",40.580003,-75.363206,"Jordan Hall","","2019-12-06"
"78","10:57:41 AM",40.579789,-75.362528,"Jordan Hall","","2019-12-06"
"87","10:57:47 AM",40.579558,-75.36149,"Jordan Hall","","2019-12-06"
"94","10:57:52 AM",40.579318,-75.360463,"Jordan Hall","","2019-12-06"
"96","10:57:59 AM",40.578793,-75.35965,"Jordan Hall","","2019-12-06"
"102","10:58:04 AM",40.578283,-75.359154,"Jordan Hall","","2019-12-06"
"108","10:58:10 AM",40.578031,-75.358101,"Jordan Hall","","2019-12-06"
"118","10:58:17 AM",40.578133,-75.35714,"Jordan Hall","","2019-12-06"
"122","10:58:23 AM",40.578211,-75.356104,"Jordan Hall","","2019-12-06"
"127","10:58:29 AM",40.578292,-75.355023,"Jordan Hall","","2019-12-06"
"132","10:58:35 AM",40.578396,-75.353909,"Jordan Hall","","2019-12-06"
"136","10:58:40 AM",40.578462,-75.353069,"Jordan Hall","","2019-12-06"
"146","10:58:47 AM",40.578529,-75.352744,"Jordan Hall","","2019-12-06"
"186","10:59:30 AM",40.579172,-75.353754,"Jordan Hall","","2019-12-06"
"190","10:59:36 AM",40.579239,-75.354122,"Jordan Hall","","2019-12-06"
"201","10:59:42 AM",40.579245,-75.354256,"Jordan Hall","","2019-12-06"
"206","10:59:48 AM",40.57929,-75.354511,"Jordan Hall","","2019-12-06"
"211","10:59:54 AM",40.579367,-75.354967,"","Saucon Village","2019-12-06"
"217","11:00:00 AM",40.579381,-75.354981,"","Saucon Village","2019-12-06"
"277","11:01:01 AM",40.579394,-75.355002,"","Saucon Village","2019-12-06"
"335","11:02:01 AM",40.57939,-75.354992,"","Saucon Village","2019-12-06"
"398","11:03:00 AM",40.57933,-75.356238,"Saucon Village","","2019-12-06"
"410","11:03:14 AM",40.578838,-75.357477,"Saucon Village","","2019-12-06"
"416","11:03:20 AM",40.578362,-75.357896,"Saucon Village","","2019-12-06"
"429","11:03:26 AM",40.578125,-75.358007,"Saucon Village","","2019-12-06"
"430","11:03:32 AM",40.578118,-75.358549,"Saucon Village","","2019-12-06"
"439","11:03:38 AM",40.578511,-75.359298,"Saucon Village","","2019-12-06"
"444","11:03:44 AM",40.579119,-75.359965,"Saucon Village","","2019-12-06"
"446","11:03:50 AM",40.579489,-75.360919,"Saucon Village","","2019-12-06"
"457","11:03:57 AM",40.579741,-75.361961,"Saucon Village","","2019-12-06"
"463","11:04:03 AM",40.57996,-75.362806,"Saucon Village","","2019-12-06"
"465","11:04:09 AM",40.580014,-75.363034,"Saucon Village","","2019-12-06"
"489","11:04:27 AM",40.58141,-75.362708,"Saucon Village","","2019-12-06"
"493","11:04:32 AM",40.582229,-75.362737,"Saucon Village","","2019-12-06"
"495","11:04:38 AM",40.582962,-75.362891,"Saucon Village","","2019-12-06"
"503","11:04:45 AM",40.583465,-75.363042,"Saucon Village","","2019-12-06"
"506","11:04:50 AM",40.583596,-75.362779,"Saucon Village","","2019-12-06"
"516","11:04:57 AM",40.583906,-75.362117,"Saucon Village","","2019-12-06"
"521","11:05:03 AM",40.584481,-75.361824,"Saucon Village","","2019-12-06"
"525","11:05:09 AM",40.58511,-75.361793,"Saucon Village","","2019-12-06"
"532","11:05:15 AM",40.585474,-75.36143,"Saucon Village","","2019-12-06"
"535","11:05:21 AM",40.585556,-75.36079,"Saucon Village","","2019-12-06"
"546","11:05:27 AM",40.585603,-75.360147,"Saucon Village","","2019-12-06"
"552","11:05:32 AM",40.585672,-75.35964,"Saucon Village","","2019-12-06"
"559","11:05:39 AM",40.585706,-75.358866,"Saucon Village","","2019-12-06"
"563","11:05:45 AM",40.585795,-75.358158,"","Stabler Arena","2019-12-06"
"568","11:05:51 AM",40.585877,-75.357489,"Saucon Village","","2019-12-06"
"571","11:05:56 AM",40.585932,-75.356832,"Saucon Village","","2019-12-06"
"584","11:06:02 AM",40.586004,-75.356131,"Saucon Village","","2019-12-06"
"586","11:06:08 AM",40.586024,-75.355448,"","Goodman Campus","2019-12-06"
"591","11:06:14 AM",40.585953,-75.355123,"","Goodman Campus","2019-12-06"
"597","11:06:20 AM",40.586053,-75.354979,"","Goodman Campus","2019-12-06"
"603","11:06:26 AM",40.586333,-75.355129,"","Goodman Campus","2019-12-06"
"611","11:06:32 AM",40.586233,-75.355483,"","Goodman Campus","2019-12-06"
"616","11:06:38 AM",40.586166,-75.355963,"Goodman Campus","","2019-12-06"
"624","11:06:44 AM",40.586098,-75.356665,"Goodman Campus","","2019-12-06"
"628","11:06:51 AM",40.586065,-75.357398,"Goodman Campus","","2019-12-06"
"639","11:06:57 AM",40.586012,-75.358068,"","Stabler Arena","2019-12-06"
"641","11:07:03 AM",40.585958,-75.358789,"","Stabler Arena","2019-12-06"
"649","11:07:08 AM",40.585899,-75.359405,"Goodman Campus","","2019-12-06"
"650","11:07:15 AM",40.585824,-75.360088,"Goodman Campus","","2019-12-06"
"657","11:07:21 AM",40.585764,-75.360802,"Goodman Campus","","2019-12-06"
"668","11:07:27 AM",40.585689,-75.36153,"Goodman Campus","","2019-12-06"
"673","11:07:33 AM",40.585294,-75.361998,"Goodman Campus","","2019-12-06"
"678","11:07:38 AM",40.584771,-75.362394,"Goodman Campus","","2019-12-06"
"683","11:07:45 AM",40.584469,-75.363019,"Goodman Campus","","2019-12-06"
"685","11:07:50 AM",40.584386,-75.363336,"Goodman Campus","","2019-12-06"
"697","11:07:57 AM",40.584488,-75.363558,"Goodman Campus","","2019-12-06"
"702","11:08:03 AM",40.585009,-75.363872,"Goodman Campus","","2019-12-06"
"708","11:08:09 AM",40.58562,-75.364375,"Goodman Campus","","2019-12-06"
"712","11:08:14 AM",40.586261,-75.365047,"Goodman Campus","","2019-12-06"
"716","11:08:21 AM",40.586879,-75.365787,"Goodman Campus","","2019-12-06"
"729","11:08:27 AM",40.587585,-75.366557,"Goodman Campus","","2019-12-06"
"734","11:08:33 AM",40.588329,-75.367227,"Goodman Campus","","2019-12-06"
"738","11:08:39 AM",40.589181,-75.367822,"Goodman Campus","","2019-12-06"
"743","11:08:44 AM",40.590051,-75.368236,"Goodman Campus","","2019-12-06"
"747","11:08:50 AM",40.59078,-75.368438,"Goodman Campus","","2019-12-06"
"751","11:08:56 AM",40.591499,-75.368544,"Goodman Campus","","2019-12-06"
"761","11:09:02 AM",40.592065,-75.368558,"Goodman Campus","","2019-12-06"
"766","11:09:08 AM",40.592171,-75.368545,"Goodman Campus","","2019-12-06"
"780","11:09:24 AM",40.593362,-75.368138,"Goodman Campus","","2019-12-06"
"787","11:09:30 AM",40.59388,-75.367786,"Goodman Campus","","2019-12-06"
"792","11:09:36 AM",40.594416,-75.367276,"Goodman Campus","","2019-12-06"
"802","11:09:42 AM",40.595026,-75.366523,"Goodman Campus","","2019-12-06"
"807","11:09:48 AM",40.595486,-75.365771,"Goodman Campus","","2019-12-06"
"810","11:09:55 AM",40.595926,-75.364868,"Goodman Campus","","2019-12-06"
"815","11:10:01 AM",40.596357,-75.363874,"Goodman Campus","","2019-12-06"
"826","11:10:07 AM",40.596778,-75.363014,"Goodman Campus","","2019-12-06"
"834","11:10:12 AM",40.597211,-75.362353,"Goodman Campus","","2019-12-06"
"838","11:10:18 AM",40.597915,-75.36187,"Goodman Campus","","2019-12-06"
"843","11:10:24 AM",40.598776,-75.362389,"Goodman Campus","","2019-12-06"
"847","11:10:31 AM",40.598967,-75.363385,"Goodman Campus","","2019-12-06"
"850","11:10:36 AM",40.598813,-75.364419,"Goodman Campus","","2019-12-06"
"864","11:10:43 AM",40.598639,-75.365406,"Goodman Campus","","2019-12-06"
"865","11:10:48 AM",40.598662,-75.36637,"Goodman Campus","","2019-12-06"
"874","11:10:55 AM",40.59906,-75.367121,"Goodman Campus","","2019-12-06"
"879","11:11:01 AM",40.599704,-75.367362,"Goodman Campus","","2019-12-06"
"889","11:11:07 AM",40.600145,-75.366894,"Goodman Campus","","2019-12-06"
"893","11:11:13 AM",40.600266,-75.366227,"Goodman Campus","","2019-12-06"
"898","11:11:19 AM",40.600299,-75.365917,"Goodman Campus","","2019-12-06"
"903","11:11:25 AM",40.600273,-75.365688,"Goodman Campus","","2019-12-06"
"907","11:11:30 AM",40.599882,-75.365578,"","Jordan Hall","2019-12-06"
"917","11:11:37 AM",40.599539,-75.365417,"","Jordan Hall","2019-12-06"
"924","11:11:43 AM",40.599393,-75.365047,"","Jordan Hall","2019-12-06"
"925","11:11:49 AM",40.59951,-75.36443,"Jordan Hall","","2019-12-06"
"934","11:11:54 AM",40.599671,-75.3638,"Jordan Hall","","2019-12-06"
"939","11:12:00 AM",40.599806,-75.363187,"","Building C","2019-12-06"
"942","11:12:06 AM",40.599822,-75.362521,"","Building C","2019-12-06"
"954","11:12:12 AM",40.59986,-75.361923,"Building C","","2019-12-06"
"957","11:12:18 AM",40.59985,-75.361643,"Building C","","2019-12-06"
"987","11:12:48 AM",40.6002,-75.360335,"Building C","","2019-12-06"
"991","11:12:54 AM",40.600331,-75.359808,"Building C","","2019-12-06"
"998","11:13:00 AM",40.600528,-75.359022,"Building C","","2019-12-06"
"1004","11:13:06 AM",40.600699,-75.358346,"Building C","","2019-12-06"
"1012","11:13:13 AM",40.600862,-75.357703,"Building C","","2019-12-06"
"1017","11:13:18 AM",40.601234,-75.357168,"Building C","","2019-12-06"
"1023","11:13:25 AM",40.601639,-75.357,"Building C","","2019-12-06"
"1025","11:13:31 AM",40.602016,-75.357349,"Building C","","2019-12-06"
"1035","11:13:37 AM",40.60213,-75.357928,"","Iacocca C Wing","2019-12-06"
"1044","11:13:43 AM",40.602265,-75.358343,"","Iacocca C Wing","2019-12-06"
"1047","11:13:48 AM",40.602324,-75.358543,"","Iacocca C Wing","2019-12-06"
"1051","11:13:54 AM",40.602548,-75.358867,"","Iacocca C Wing","2019-12-06"
"1055","11:14:00 AM",40.602741,-75.359314,"Iacocca C Wing","","2019-12-06"
"1061","11:14:06 AM",40.602496,-75.35974,"Iacocca C Wing","","2019-12-06"
"1070","11:14:12 AM",40.602126,-75.360175,"","Iacocca Hall","2019-12-06"
"1078","11:14:18 AM",40.602005,-75.360422,"","Iacocca Hall","2019-12-06"
"1080","11:14:25 AM",40.601985,-75.360473,"","Iacocca Hall","2019-12-06"
"1140","11:15:24 AM",40.601986,-75.36046,"","Iacocca Hall","2019-12-06"
"1201","11:16:25 AM",40.601992,-75.360453,"","Iacocca Hall","2019-12-06"
"1262","11:17:24 AM",40.601996,-75.360448,"","Iacocca Hall","2019-12-06"
"1320","11:18:22 AM",40.601518,-75.361704,"Iacocca Hall","","2019-12-06"
"1326","11:18:28 AM",40.601474,-75.362271,"Iacocca Hall","","2019-12-06"
"1332","11:18:34 AM",40.601424,-75.362924,"Iacocca Hall","","2019-12-06"
"1337","11:18:40 AM",40.60156,-75.363134,"Iacocca Hall","","2019-12-06"
"1343","11:18:46 AM",40.601617,-75.363136,"Iacocca Hall","","2019-12-06"
"1353","11:18:52 AM",40.60179,-75.36259,"Iacocca Hall","","2019-12-06"
"1356","11:18:58 AM",40.602055,-75.361882,"Iacocca Hall","","2019-12-06"
"1363","11:19:04 AM",40.602512,-75.361348,"Iacocca Hall","","2019-12-06"
"1368","11:19:10 AM",40.603122,-75.361096,"Iacocca Hall","","2019-12-06"
"1372","11:19:16 AM",40.603702,-75.361132,"","ATLSS","2019-12-06"
"1381","11:19:22 AM",40.604133,-75.361163,"","ATLSS","2019-12-06"
"1389","11:19:29 AM",40.60421,-75.360964,"","ATLSS","2019-12-06"
"1393","11:19:35 AM",40.604145,-75.360779,"","ATLSS","2019-12-06"
"1395","11:19:40 AM",40.604136,-75.360732,"ATLSS","","2019-12-06"
"1408","11:19:47 AM",40.604215,-75.360778,"","ATLSS","2019-12-06"
"1410","11:19:53 AM",40.604302,-75.361007,"","ATLSS","2019-12-06"
"1418","11:19:58 AM",40.604185,-75.361153,"","ATLSS","2019-12-06"
"1422","11:20:04 AM",40.604181,-75.361177,"","ATLSS","2019-12-06"
"1441","11:20:25 AM",40.602659,-75.361333,"ATLSS","","2019-12-06"
"1448","11:20:30 AM",40.602117,-75.361895,"ATLSS","","2019-12-06"
"1450","11:20:36 AM",40.60181,-75.362698,"ATLSS","","2019-12-06"
"1463","11:20:42 AM",40.601531,-75.363435,"ATLSS","","2019-12-06"
"1466","11:20:48 AM",40.601314,-75.363813,"ATLSS","","2019-12-06"
"1470","11:20:54 AM",40.601059,-75.364216,"ATLSS","","2019-12-06"
"1477","11:21:01 AM",40.600725,-75.364983,"ATLSS","","2019-12-06"
"1484","11:21:06 AM",40.600569,-75.365514,"ATLSS","","2019-12-06"
"1490","11:21:12 AM",40.600479,-75.365761,"ATLSS","","2019-12-06"
"1495","11:21:18 AM",40.600279,-75.366462,"ATLSS","","2019-12-06"
"1500","11:21:24 AM",40.600154,-75.367316,"ATLSS","","2019-12-06"
"1506","11:21:30 AM",40.600173,-75.36793,"ATLSS","","2019-12-06"
"1514","11:21:36 AM",40.600237,-75.368337,"ATLSS","","2019-12-06"
"1520","11:21:42 AM",40.600295,-75.369384,"ATLSS","","2019-12-06"
"1525","11:21:48 AM",40.600459,-75.370522,"ATLSS","","2019-12-06"
"1531","11:21:54 AM",40.600729,-75.371634,"ATLSS","","2019-12-06"
"1539","11:22:00 AM",40.600913,-75.372607,"ATLSS","","2019-12-06"
"1540","11:22:06 AM",40.601327,-75.373333,"ATLSS","","2019-12-06"
"1552","11:22:12 AM",40.601543,-75.373658,"ATLSS","","2019-12-06"
"1558","11:22:18 AM",40.601809,-75.373925,"ATLSS","","2019-12-06"
"1563","11:22:24 AM",40.602594,-75.374163,"ATLSS","","2019-12-06"
"1567","11:22:30 AM",40.603335,-75.373904,"ATLSS","","2019-12-06"
"1573","11:22:36 AM",40.6037,-75.373574,"ATLSS","","2019-12-06"
"1584","11:22:42 AM",40.60387,-75.37375,"ATLSS","","2019-12-06"
"1588","11:22:48 AM",40.603837,-75.374218,"ATLSS","","2019-12-06"
"1594","11:22:54 AM",40.603408,-75.374728,"ATLSS","","2019-12-06"
"1597","11:23:01 AM",40.603098,-75.375218,"","Alpha Tau Omega","2019-12-06"
"1605","11:23:07 AM",40.603224,-75.375477,"","Alpha Tau Omega","2019-12-06"
"1614","11:23:13 AM",40.603578,-75.375763,"","Alpha Tau Omega","2019-12-06"
"1618","11:23:18 AM",40.604048,-75.37611,"Alpha Tau Omega","","2019-12-06"
"1622","11:23:24 AM",40.604169,-75.376551,"","Gamma Phi Beta","2019-12-06"
"1625","11:23:30 AM",40.604129,-75.376851,"","Gamma Phi Beta","2019-12-06"
"1633","11:23:36 AM",40.604153,-75.377048,"","Gamma Phi Beta","2019-12-06"
"1643","11:23:42 AM",40.60402,-75.37775,"Gamma Phi Beta","","2019-12-06"
"1647","11:23:48 AM",40.603927,-75.378274,"Gamma Phi Beta","","2019-12-06"
"1652","11:23:54 AM",40.603861,-75.378651,"","Pi Beta Phi","2019-12-06"
"1659","11:24:01 AM",40.603722,-75.378965,"","Pi Beta Phi","2019-12-06"
"1661","11:24:06 AM",40.603679,-75.379008,"","Pi Beta Phi","2019-12-06"
"1673","11:24:12 AM",40.603518,-75.379329,"","Pi Beta Phi","2019-12-06"
"1677","11:24:18 AM",40.603459,-75.379893,"Pi Beta Phi","","2019-12-06"
"1684","11:24:25 AM",40.603709,-75.380308,"Pi Beta Phi","","2019-12-06"
"1689","11:24:30 AM",40.603921,-75.380635,"Pi Beta Phi","","2019-12-06"
"1691","11:24:36 AM",40.604104,-75.380559,"Pi Beta Phi","","2019-12-06"
"1702","11:24:42 AM",40.604075,-75.380129,"Pi Beta Phi","","2019-12-06"
"1709","11:24:48 AM",40.604087,-75.379796,"Pi Beta Phi","","2019-12-06"
"1710","11:24:54 AM",40.604217,-75.379409,"Pi Beta Phi","","2019-12-06"
"1717","11:25:00 AM",40.604408,-75.379132,"Pi Beta Phi","","2019-12-06"
"1724","11:25:06 AM",40.604477,-75.378965,"Pi Beta Phi","","2019-12-06"
"1733","11:25:12 AM",40.604586,-75.378838,"Pi Beta Phi","","2019-12-06"
"1738","11:25:18 AM",40.604814,-75.378831,"","Taylor College","2019-12-06"
"1743","11:25:24 AM",40.604894,-75.378875,"","Taylor College","2019-12-06"
"1787","11:26:07 AM",40.605244,-75.380156,"Taylor College","","2019-12-06"
"1793","11:26:13 AM",40.605346,-75.380599,"Taylor College","","2019-12-06"
"1798","11:26:19 AM",40.605407,-75.380757,"Taylor College","","2019-12-06"
"1801","11:26:25 AM",40.605595,-75.380966,"Taylor College","","2019-12-06"
"1808","11:26:31 AM",40.606084,-75.380972,"Taylor College","","2019-12-06"
"1818","11:26:37 AM",40.60642,-75.380963,"Taylor College","","2019-12-06"
"1824","11:26:43 AM",40.606508,-75.380927,"","Alumni Memorial Building","2019-12-06"
"1826","11:26:49 AM",40.606519,-75.380916,"","Alumni Memorial Building","2019-12-06"
"1831","11:26:55 AM",40.606635,-75.380916,"","Alumni Memorial Building","2019-12-06"
"1836","11:27:00 AM",40.606889,-75.38095,"","Alumni Memorial Building","2019-12-06"
"1847","11:27:07 AM",40.6074,-75.381013,"","Alumni Memorial Building","2019-12-06"
"1854","11:27:13 AM",40.607812,-75.381094,"Alumni Memorial Building","","2019-12-06"
"1856","11:27:19 AM",40.607917,-75.381057,"Alumni Memorial Building","","2019-12-06"
"1863","11:27:25 AM",40.607998,-75.380626,"Alumni Memorial Building","","2019-12-06"
"1869","11:27:31 AM",40.608041,-75.38008,"","STEPS","2019-12-06"
"1872","11:27:36 AM",40.608077,-75.379808,"","STEPS","2019-12-06"
"1880","11:27:42 AM",40.608272,-75.37957,"","STEPS","2019-12-06"
"1889","11:27:48 AM",40.608267,-75.379566,"","STEPS","2019-12-06"
"1949","11:28:48 AM",40.609575,-75.37965,"STEPS","","2019-12-06"
"1984","11:29:25 AM",40.609724,-75.378265,"","Farrington Square","2019-12-06"
"1985","11:29:30 AM",40.609729,-75.378139,"","Farrington Square","2019-12-06"
"2046","11:30:31 AM",40.609737,-75.376978,"Farrington Square","","2019-12-06"
"2083","11:31:05 AM",40.610116,-75.375828,"Farrington Square","","2019-12-06"
"2086","11:31:11 AM",40.610272,-75.375869,"Farrington Square","","2019-12-06"
"2098","11:31:17 AM",40.610297,-75.375831,"Farrington Square","","2019-12-06"
"2150","11:32:16 AM",40.611384,-75.375859,"Farrington Square","","2019-12-06"
"2182","11:32:42 AM",40.611485,-75.377293,"Farrington Square","","2019-12-06"
"2186","11:32:48 AM",40.611473,-75.37768,"Farrington Square","","2019-12-06"
"2192","11:32:55 AM",40.611497,-75.377737,"Farrington Square","","2019-12-06"
"2222","11:33:25 AM",40.610765,-75.378578,"Farrington Square","","2019-12-06"
"2229","11:33:31 AM",40.610574,-75.378479,"Farrington Square","","2019-12-06"
"2234","11:33:36 AM",40.610529,-75.378473,"Farrington Square","","2019-12-06"
"2291","11:34:36 AM",40.609735,-75.378415,"","Farrington Square","2019-12-06"
"2345","11:35:28 AM",40.609825,-75.376983,"Farrington Square","","2019-12-06"
"2351","11:35:34 AM",40.609841,-75.376388,"Farrington Square","","2019-12-06"
"2359","11:35:40 AM",40.609856,-75.376047,"Farrington Square","","2019-12-06"
"2368","11:35:47 AM",40.609827,-75.375913,"Farrington Square","","2019-12-06"
"2370","11:35:53 AM",40.609566,-75.375838,"Farrington Square","","2019-12-06"
"2376","11:35:59 AM",40.609079,-75.375802,"Farrington Square","","2019-12-06"
"2384","11:36:05 AM",40.608666,-75.375827,"","Whitaker Lab","2019-12-06"
"2386","11:36:11 AM",40.6085,-75.375844,"","Whitaker Lab","2019-12-06"
"2399","11:36:17 AM",40.608538,-75.375855,"","Whitaker Lab","2019-12-06"
"2456","11:37:17 AM",40.60839,-75.374558,"Whitaker Lab","","2019-12-06"
"2488","11:37:50 AM",40.607,-75.374776,"","Williams Hall","2019-12-06"
"2493","11:37:56 AM",40.60686,-75.374888,"","Williams Hall","2019-12-06"
"2541","11:38:44 AM",40.606309,-75.375954,"Williams Hall","","2019-12-06"
"2546","11:38:50 AM",40.606041,-75.376252,"Williams Hall","","2019-12-06"
"2553","11:38:57 AM",40.605713,-75.37656,"Williams Hall","","2019-12-06"
"2564","11:39:03 AM",40.605629,-75.377111,"","Drown Hall","2019-12-06"
"2569","11:39:09 AM",40.605579,-75.377451,"","Drown Hall","2019-12-06"
"2574","11:39:14 AM",40.605559,-75.377527,"","Drown Hall","2019-12-06"
"2634","11:40:14 AM",40.605329,-75.378865,"","Taylor College","2019-12-06"
"2636","11:40:20 AM",40.605243,-75.378947,"","Taylor College","2019-12-06"
"2644","11:40:26 AM",40.60497,-75.378956,"","Taylor College","2019-12-06"
"2654","11:40:32 AM",40.604596,-75.378934,"Taylor College","","2019-12-06"
"2659","11:40:38 AM",40.604482,-75.37892,"Taylor College","","2019-12-06"
"2661","11:40:44 AM",40.604296,-75.379337,"Taylor College","","2019-12-06"
"2669","11:40:51 AM",40.60413,-75.379906,"Taylor College","","2019-12-06"
"2671","11:40:56 AM",40.604289,-75.380508,"Taylor College","","2019-12-06"
"2683","11:41:02 AM",40.604037,-75.380842,"Taylor College","","2019-12-06"
"2686","11:41:08 AM",40.603853,-75.381385,"Taylor College","","2019-12-06"
"2693","11:41:14 AM",40.603704,-75.382007,"Taylor College","","2019-12-06"
"2697","11:41:20 AM",40.603409,-75.382217,"Taylor College","","2019-12-06"
"2700","11:41:26 AM",40.603322,-75.381634,"Taylor College","","2019-12-06"
"2713","11:41:32 AM",40.603097,-75.381138,"","Sigma Phi Epsilon","2019-12-06"
"2717","11:41:38 AM",40.602862,-75.380799,"","Sigma Phi Epsilon","2019-12-06"
"2723","11:41:44 AM",40.602785,-75.380695,"","Sigma Phi Epsilon","2019-12-06"
"2745","11:42:08 AM",40.602044,-75.379856,"Sigma Phi Epsilon","","2019-12-06"
"2754","11:42:15 AM",40.601947,-75.379276,"","House 93","2019-12-06"
"2755","11:42:20 AM",40.601964,-75.379107,"","House 93","2019-12-06"
"2784","11:42:45 AM",40.602373,-75.377725,"House 93","","2019-12-06"
"2785","11:42:51 AM",40.602333,-75.37712,"","Alpha Phi","2019-12-06"
"2793","11:42:56 AM",40.602257,-75.376659,"","Alpha Phi","2019-12-06"
"2799","11:43:02 AM",40.602236,-75.376647,"","Alpha Phi","2019-12-06"
"2819","11:43:21 AM",40.601813,-75.375405,"Alpha Phi","","2019-12-06"
"2821","11:43:27 AM",40.60155,-75.374951,"Alpha Phi","","2019-12-06"
"2830","11:43:33 AM",40.601858,-75.374533,"Alpha Phi","","2019-12-06"
"2837","11:43:38 AM",40.602145,-75.37431,"Alpha Phi","","2019-12-06"
"2842","11:43:44 AM",40.602135,-75.374316,"Alpha Phi","","2019-12-06"
"2847","11:43:51 AM",40.601913,-75.374098,"Alpha Phi","","2019-12-06"
"2851","11:43:56 AM",40.601462,-75.373759,"Alpha Phi","","2019-12-06"
"2863","11:44:03 AM",40.601053,-75.373079,"Alpha Phi","","2019-12-06"
"2868","11:44:09 AM",40.600693,-75.372267,"Alpha Phi","","2019-12-06"
"2903","11:44:44 AM",40.600265,-75.366196,"Alpha Phi","","2019-12-06"
"2909","11:44:50 AM",40.600344,-75.365862,"Alpha Phi","","2019-12-06"
"2910","11:44:57 AM",40.600446,-75.36541,"Alpha Phi","","2019-12-06"
"2924","11:45:03 AM",40.600736,-75.364776,"Alpha Phi","","2019-12-06"
"2929","11:45:09 AM",40.601024,-75.364093,"Alpha Phi","","2019-12-06"
"2932","11:45:14 AM",40.601458,-75.363527,"Alpha Phi","","2019-12-06"
"2938","11:45:21 AM",40.60182,-75.362731,"Alpha Phi","","2019-12-06"
"2942","11:45:26 AM",40.602102,-75.361894,"Alpha Phi","","2019-12-06"
"2951","11:45:32 AM",40.602737,-75.361237,"Alpha Phi","","2019-12-06"
"2959","11:45:38 AM",40.60326,-75.361101,"Alpha Phi","","2019-12-06"
