"","Time","Latitude","Longitude","Last.Stop","Current.Stop","Date"
"6","10:56:28 AM",40.601707,-75.373921,"Alpha Phi","","2019-12-06"
"10","10:56:34 AM",40.601292,-75.373491,"Alpha Phi","","2019-12-06"
"19","10:56:40 AM",40.600931,-75.372841,"Alpha Phi","","2019-12-06"
"27","10:56:46 AM",40.600646,-75.371962,"Alpha Phi","","2019-12-06"
"32","10:56:53 AM",40.600432,-75.370953,"Alpha Phi","","2019-12-06"
"37","10:56:59 AM",40.600242,-75.369815,"Alpha Phi","","2019-12-06"
"43","10:57:04 AM",40.60009,-75.368597,"Alpha Phi","","2019-12-06"
"49","10:57:11 AM",40.600074,-75.367614,"Alpha Phi","","2019-12-06"
"55","10:57:17 AM",40.600164,-75.36661,"Alpha Phi","","2019-12-06"
"63","10:57:23 AM",40.600272,-75.366218,"Alpha Phi","","2019-12-06"
"68","10:57:28 AM",40.600346,-75.365967,"Alpha Phi","","2019-12-06"
"70","10:57:34 AM",40.600402,-75.365769,"Alpha Phi","","2019-12-06"
"76","10:57:40 AM",40.60049,-75.365489,"Alpha Phi","","2019-12-06"
"88","10:57:46 AM",40.600523,-75.365498,"Alpha Phi","","2019-12-06"
"109","10:58:09 AM",40.601185,-75.363929,"Alpha Phi","","2019-12-06"
"114","10:58:15 AM",40.601427,-75.363552,"Alpha Phi","","2019-12-06"
"119","10:58:21 AM",40.60163,-75.363079,"Alpha Phi","","2019-12-06"
"124","10:58:26 AM",40.601808,-75.362557,"Alpha Phi","","2019-12-06"
"130","10:58:32 AM",40.601997,-75.36202,"Alpha Phi","","2019-12-06"
"138","10:58:38 AM",40.602288,-75.361572,"Alpha Phi","","2019-12-06"
"140","10:58:44 AM",40.602666,-75.361267,"Alpha Phi","","2019-12-06"
"148","10:58:50 AM",40.603093,-75.361113,"Alpha Phi","","2019-12-06"
"156","10:58:56 AM",40.603548,-75.361129,"Alpha Phi","","2019-12-06"
"164","10:59:02 AM",40.603963,-75.361223,"","ATLSS","2019-12-06"
"168","10:59:09 AM",40.604189,-75.361089,"","ATLSS","2019-12-06"
"173","10:59:15 AM",40.604134,-75.360897,"","ATLSS","2019-12-06"
"178","10:59:21 AM",40.604123,-75.360767,"","ATLSS","2019-12-06"
"187","10:59:27 AM",40.604178,-75.360741,"ATLSS","","2019-12-06"
"245","11:00:27 AM",40.603007,-75.361173,"ATLSS","","2019-12-06"
"252","11:00:33 AM",40.602623,-75.361326,"ATLSS","","2019-12-06"
"255","11:00:39 AM",40.602276,-75.361631,"ATLSS","","2019-12-06"
"264","11:00:45 AM",40.601992,-75.36208,"ATLSS","","2019-12-06"
"265","11:00:51 AM",40.60182,-75.362589,"ATLSS","","2019-12-06"
"278","11:00:57 AM",40.601694,-75.363041,"ATLSS","","2019-12-06"
"281","11:01:03 AM",40.601447,-75.363169,"ATLSS","","2019-12-06"
"286","11:01:08 AM",40.60139,-75.363073,"ATLSS","","2019-12-06"
"290","11:01:14 AM",40.601397,-75.362674,"ATLSS","","2019-12-06"
"295","11:01:20 AM",40.601424,-75.362181,"ATLSS","","2019-12-06"
"305","11:01:26 AM",40.601462,-75.361698,"ATLSS","","2019-12-06"
"313","11:01:32 AM",40.601556,-75.361233,"ATLSS","","2019-12-06"
"316","11:01:38 AM",40.601707,-75.360812,"","Iacocca Hall","2019-12-06"
"324","11:01:44 AM",40.601767,-75.360706,"","Iacocca Hall","2019-12-06"
"384","11:02:45 AM",40.60173,-75.360748,"","Iacocca Hall","2019-12-06"
