"","Time","Latitude","Longitude","Last.Stop","Current.Stop","Date"
"1","10:55:44 AM",40.60982,-75.376067,"Farrington Square","","2019-12-06"
"2","10:56:34 AM",40.608569,-75.375787,"","Whitaker Lab","2019-12-06"
"3","10:56:40 AM",40.608463,-75.375795,"","Whitaker Lab","2019-12-06"
"15","10:57:38 AM",40.608355,-75.374386,"Whitaker Lab","","2019-12-06"
"16","10:57:44 AM",40.608104,-75.374404,"Whitaker Lab","","2019-12-06"
"17","10:57:50 AM",40.607763,-75.374369,"Whitaker Lab","","2019-12-06"
"18","10:57:56 AM",40.607429,-75.374363,"Whitaker Lab","","2019-12-06"
"20","10:58:02 AM",40.607204,-75.374379,"","Williams Hall","2019-12-06"
"21","10:58:08 AM",40.607125,-75.374502,"","Williams Hall","2019-12-06"
"22","10:58:14 AM",40.607062,-75.374748,"","Williams Hall","2019-12-06"
"23","10:58:20 AM",40.606872,-75.374895,"","Williams Hall","2019-12-06"
"24","10:58:26 AM",40.606821,-75.374868,"","Williams Hall","2019-12-06"
"30","10:58:54 AM",40.606304,-75.375864,"Williams Hall","","2019-12-06"
"31","10:59:00 AM",40.606183,-75.376182,"Williams Hall","","2019-12-06"
"32","10:59:06 AM",40.605892,-75.376249,"Williams Hall","","2019-12-06"
"34","10:59:12 AM",40.605715,-75.376537,"Williams Hall","","2019-12-06"
"35","10:59:18 AM",40.605613,-75.376817,"Williams Hall","","2019-12-06"
"36","10:59:24 AM",40.605593,-75.377206,"","Drown Hall","2019-12-06"
"37","10:59:30 AM",40.605597,-75.377438,"","Drown Hall","2019-12-06"
"38","10:59:36 AM",40.605622,-75.37755,"","Drown Hall","2019-12-06"
"40","10:59:42 AM",40.605634,-75.377526,"","Drown Hall","2019-12-06"
"46","11:00:16 AM",40.605395,-75.378786,"","Taylor College","2019-12-06"
"48","11:00:22 AM",40.605279,-75.378938,"","Taylor College","2019-12-06"
"49","11:00:28 AM",40.605276,-75.378874,"","Taylor College","2019-12-06"
"58","11:01:12 AM",40.604192,-75.379371,"Taylor College","","2019-12-06"
"59","11:01:18 AM",40.604072,-75.379802,"Taylor College","","2019-12-06"
"60","11:01:24 AM",40.604142,-75.380162,"Taylor College","","2019-12-06"
"61","11:01:30 AM",40.604185,-75.380562,"Taylor College","","2019-12-06"
"62","11:01:36 AM",40.603952,-75.380876,"Taylor College","","2019-12-06"
"64","11:01:42 AM",40.603853,-75.38133,"Taylor College","","2019-12-06"
"65","11:01:48 AM",40.603775,-75.381898,"Taylor College","","2019-12-06"
"66","11:01:54 AM",40.603602,-75.382174,"Taylor College","","2019-12-06"
"67","11:02:00 AM",40.603348,-75.382055,"Taylor College","","2019-12-06"
"68","11:02:06 AM",40.603279,-75.381578,"Taylor College","","2019-12-06"
"70","11:02:12 AM",40.603093,-75.381147,"","Sigma Phi Epsilon","2019-12-06"
"71","11:02:18 AM",40.602891,-75.380807,"","Sigma Phi Epsilon","2019-12-06"
"72","11:02:24 AM",40.602842,-75.38073,"","Sigma Phi Epsilon","2019-12-06"
"77","11:02:48 AM",40.602064,-75.379864,"Sigma Phi Epsilon","","2019-12-06"
"78","11:02:54 AM",40.602005,-75.379356,"","House 93","2019-12-06"
"79","11:03:00 AM",40.602012,-75.379102,"","House 93","2019-12-06"
"80","11:03:06 AM",40.60197,-75.379137,"","House 93","2019-12-06"
"86","11:03:32 AM",40.602347,-75.377947,"House 93","","2019-12-06"
"87","11:03:38 AM",40.602401,-75.377457,"House 93","","2019-12-06"
"88","11:03:44 AM",40.602326,-75.376994,"","Alpha Phi","2019-12-06"
"89","11:03:50 AM",40.602279,-75.376621,"","Alpha Phi","2019-12-06"
"90","11:03:56 AM",40.602272,-75.376592,"","Alpha Phi","2019-12-06"
"95","11:04:20 AM",40.601839,-75.375399,"Alpha Phi","","2019-12-06"
"96","11:04:26 AM",40.601877,-75.374948,"Alpha Phi","","2019-12-06"
"98","11:04:32 AM",40.60228,-75.374713,"Alpha Phi","","2019-12-06"
"99","11:04:38 AM",40.602654,-75.374601,"Alpha Phi","","2019-12-06"
"100","11:04:44 AM",40.603073,-75.374477,"Alpha Phi","","2019-12-06"
"101","11:04:50 AM",40.603428,-75.37423,"Alpha Phi","","2019-12-06"
"102","11:04:56 AM",40.603678,-75.373869,"Alpha Phi","","2019-12-06"
"104","11:05:02 AM",40.603833,-75.373787,"Alpha Phi","","2019-12-06"
"108","11:05:22 AM",40.603286,-75.374778,"Alpha Phi","","2019-12-06"
"109","11:05:28 AM",40.603107,-75.375045,"","Alpha Tau Omega","2019-12-06"
"110","11:05:34 AM",40.603123,-75.375381,"","Alpha Tau Omega","2019-12-06"
"111","11:05:40 AM",40.603204,-75.375546,"","Alpha Tau Omega","2019-12-06"
"112","11:05:46 AM",40.603539,-75.375853,"Alpha Tau Omega","","2019-12-06"
"114","11:05:52 AM",40.603932,-75.376053,"Alpha Tau Omega","","2019-12-06"
"115","11:05:58 AM",40.604143,-75.376353,"Alpha Tau Omega","","2019-12-06"
"116","11:06:04 AM",40.604167,-75.376723,"","Gamma Phi Beta","2019-12-06"
"117","11:06:10 AM",40.604138,-75.376884,"","Gamma Phi Beta","2019-12-06"
"122","11:06:36 AM",40.603944,-75.378231,"Gamma Phi Beta","","2019-12-06"
"124","11:06:42 AM",40.603859,-75.378647,"","Pi Beta Phi","2019-12-06"
"125","11:06:48 AM",40.603696,-75.378996,"","Pi Beta Phi","2019-12-06"
"126","11:06:54 AM",40.603601,-75.379176,"","Pi Beta Phi","2019-12-06"
"127","11:07:00 AM",40.60355,-75.379246,"","Pi Beta Phi","2019-12-06"
"128","11:07:06 AM",40.603419,-75.379723,"Pi Beta Phi","","2019-12-06"
"130","11:07:12 AM",40.603575,-75.380198,"Pi Beta Phi","","2019-12-06"
"131","11:07:18 AM",40.603829,-75.380607,"Pi Beta Phi","","2019-12-06"
"132","11:07:24 AM",40.604095,-75.380688,"Pi Beta Phi","","2019-12-06"
"133","11:07:30 AM",40.604214,-75.380353,"Pi Beta Phi","","2019-12-06"
"134","11:07:36 AM",40.604099,-75.379962,"Pi Beta Phi","","2019-12-06"
"136","11:07:42 AM",40.604112,-75.379571,"Pi Beta Phi","","2019-12-06"
"137","11:07:48 AM",40.604324,-75.379219,"Pi Beta Phi","","2019-12-06"
"138","11:07:54 AM",40.604499,-75.379008,"Pi Beta Phi","","2019-12-06"
"139","11:08:00 AM",40.604542,-75.37887,"Pi Beta Phi","","2019-12-06"
"140","11:08:06 AM",40.604758,-75.378817,"","Taylor College","2019-12-06"
"142","11:08:12 AM",40.605026,-75.378867,"","Taylor College","2019-12-06"
"143","11:08:18 AM",40.605121,-75.378908,"","Taylor College","2019-12-06"
"153","11:09:10 AM",40.605253,-75.380339,"Taylor College","","2019-12-06"
"154","11:09:16 AM",40.605311,-75.380651,"Taylor College","","2019-12-06"
"156","11:09:22 AM",40.605379,-75.380804,"Taylor College","","2019-12-06"
"157","11:09:28 AM",40.605568,-75.380989,"Taylor College","","2019-12-06"
"158","11:09:34 AM",40.605826,-75.38103,"Taylor College","","2019-12-06"
"159","11:09:40 AM",40.606147,-75.381012,"Taylor College","","2019-12-06"
"160","11:09:46 AM",40.606478,-75.380989,"","Alumni Memorial Building","2019-12-06"
"162","11:09:52 AM",40.606651,-75.380968,"","Alumni Memorial Building","2019-12-06"
"163","11:09:58 AM",40.606646,-75.380972,"","Alumni Memorial Building","2019-12-06"
"172","11:10:44 AM",40.608048,-75.380793,"Alumni Memorial Building","","2019-12-06"
"173","11:10:50 AM",40.608023,-75.380273,"Alumni Memorial Building","","2019-12-06"
"174","11:10:56 AM",40.608087,-75.379822,"","STEPS","2019-12-06"
"176","11:11:02 AM",40.608097,-75.379677,"","STEPS","2019-12-06"
"177","11:11:08 AM",40.608197,-75.379535,"","STEPS","2019-12-06"
"178","11:11:14 AM",40.608264,-75.379552,"","STEPS","2019-12-06"
"184","11:11:46 AM",40.609647,-75.379682,"STEPS","","2019-12-06"
"186","11:11:52 AM",40.609758,-75.379685,"STEPS","","2019-12-06"
"187","11:11:58 AM",40.609862,-75.379587,"STEPS","","2019-12-06"
"188","11:12:04 AM",40.609795,-75.379153,"STEPS","","2019-12-06"
"189","11:12:10 AM",40.609776,-75.378787,"","Farrington Square","2019-12-06"
"190","11:12:16 AM",40.609738,-75.378501,"","Farrington Square","2019-12-06"
"192","11:12:22 AM",40.60975,-75.378293,"","Farrington Square","2019-12-06"
"193","11:12:28 AM",40.609748,-75.378134,"","Farrington Square","2019-12-06"
"194","11:12:34 AM",40.609737,-75.378152,"","Farrington Square","2019-12-06"
"203","11:13:20 AM",40.6098,-75.376619,"Farrington Square","","2019-12-06"
"204","11:13:26 AM",40.609813,-75.376216,"Farrington Square","","2019-12-06"
"206","11:13:32 AM",40.609816,-75.375922,"Farrington Square","","2019-12-06"
"207","11:13:38 AM",40.609808,-75.375812,"Farrington Square","","2019-12-06"
"208","11:13:44 AM",40.609519,-75.375786,"Farrington Square","","2019-12-06"
"209","11:13:50 AM",40.609162,-75.375795,"Farrington Square","","2019-12-06"
"210","11:13:56 AM",40.608796,-75.375789,"","Whitaker Lab","2019-12-06"
"212","11:14:02 AM",40.608545,-75.375806,"","Whitaker Lab","2019-12-06"
"213","11:14:08 AM",40.608496,-75.37583,"","Whitaker Lab","2019-12-06"
"224","11:15:04 AM",40.608357,-75.374399,"Whitaker Lab","","2019-12-06"
"225","11:15:10 AM",40.608079,-75.374385,"Whitaker Lab","","2019-12-06"
"226","11:15:16 AM",40.607704,-75.37439,"Whitaker Lab","","2019-12-06"
"228","11:15:22 AM",40.607374,-75.374376,"Whitaker Lab","","2019-12-06"
"229","11:15:28 AM",40.607175,-75.374382,"","Williams Hall","2019-12-06"
"230","11:15:34 AM",40.607115,-75.374606,"","Williams Hall","2019-12-06"
"231","11:15:40 AM",40.60696,-75.374818,"","Williams Hall","2019-12-06"
"232","11:15:46 AM",40.606812,-75.374883,"","Williams Hall","2019-12-06"
"238","11:16:16 AM",40.606276,-75.375874,"Williams Hall","","2019-12-06"
"240","11:16:22 AM",40.606165,-75.376174,"Williams Hall","","2019-12-06"
"241","11:16:28 AM",40.605882,-75.376259,"Williams Hall","","2019-12-06"
"242","11:16:34 AM",40.605674,-75.376571,"Williams Hall","","2019-12-06"
"243","11:16:40 AM",40.605607,-75.376909,"Williams Hall","","2019-12-06"
"244","11:16:46 AM",40.605567,-75.377318,"","Drown Hall","2019-12-06"
"246","11:16:52 AM",40.605574,-75.377509,"","Drown Hall","2019-12-06"
"247","11:16:58 AM",40.605559,-75.377593,"","Drown Hall","2019-12-06"
